datetime,author,body
1225409406596255745,BrittaSwenson,RT @Baltahji: #corononavirus can survive 5 up to days in a natural environment (as most scientists says) so money becomes a dangerous thing…
1225409250165501954,Schugy5,"RT @ISCResearch: Here the right explanation why some Chinese does not have interesting to leave their apartments. 

Such ""hospitals"" are da…"
1225409233459408896,rosawati47,"RT @ppandeyenv: READ ‼️‼️👇🏻
Namaste 🙏🏻 over handshake 🤝 
#nCoV2020 #nCoV #CoronavirusOutbreak #coronavirusindia #WuhanCoronavirus #coronarv…"
1225409222566793216,Mrimbatman,If this video (needs to be authenticated first) has something to do with #corononavirus then I'm damn sure that thi… https://t.co/qfdmZJxsIw
1225409210847858690,IrisIiiiii,RT @mollyippppp: @matanevenoff @ccchre God bless #HongKong 😔#CoronavirusOutbreak #coronaviruschina #Corona https://t.co/HB56CAakeR
1225409205202538498,HenSiSi,"RT @IsChinar: Had this sent to me...its said to be wuhan, more arson I suppose🤷‍♂️

#coronavirus #CoronavirusOutbreak #CoronavirusWho #coro…"
1225409193890336768,CGTNTech,"In fight against #CoronavirusOutbreak #coronaviruschina #coronaviruses coronavirus, reputed journals offer free acc… https://t.co/5nTwh3ROD9"
1225409170951802880,ctrobison,"RT @itsSweetThing: Senate meeting in the Philippines: they watched this vid that blames Bill Gates, George Soros, and the CIA for the #Coro…"
1225409127318376448,hkersneedavenge,"RT @_jasmineleung_: Discontentment towards govt since #HongKongProtests, and now #CoronavirusOutbreak, reinforces unity: protest-themed dis…"
1225409069021847552,TheTcfi,"RT @TheTcfi: Day 4... How to protect yourself from CoronaVirus.
We feel, we need to know this ahead here.
#CoronavirusOutbreak 
@Solohtolz…"
1225409014692896768,nwakaibeya24,#Oil already in a Bear market and @OPEC couldnt reach a deal for a cut as the Russians opted for a wait-and-see app… https://t.co/ZGyOudJLcJ
1225408957654523904,brave_new_bug,"RT @PhilosophyNook: Since the #CoronavirusOutbreak the #CCP

- arrested concerned citizens
- silenced doctors
- detained journalists
- cens…"
1225408954865291264,firstpost,RT @tech2eets: A letter authored by a team of doctors @LMU_Muenchen on how the novel coronavirus can be transmitted even without symptoms o…
1225408951648309251,idealconcept3,#Oil already in a Bear market and @OPEC couldnt reach a deal for a cut as the Russians opted for a wait-and-see app… https://t.co/ZpR3TgbB2Y
1225408951166087168,PharmNG,"It is very important that you protect yourself especially in times like this.

Read and share with your loved ones.… https://t.co/Gp3GflNKCE"
1225408923890401280,HmK32312912,"RT @ajmm19923493: While news coverage in #HongKong focuses on #CoronavirusOutbreak, don’t forget we’re still battling w/ #PoliceBrutality.…"
1225408921222840320,tech2eets,A letter authored by a team of doctors @LMU_Muenchen on how the novel coronavirus can be transmitted even without s… https://t.co/dtQKPqpB0r
1225408920769818624,_wli,"List of home confinees under the 14-day home quarantine in #HongKong due to #CoronavirusOutbreak #Coronavirus.

https://t.co/lzwF1himNm"
1225408920564355072,TillAutonomyBe,"RT @CriticalCezanne: Feb 6: HKGOV’s refusal to shut down borders with China brings new wave of #HongKongProtests.

Sai Wan residents protes…"
1225408885399457792,peraisakop,"RT @cchukudebelu: If you are more than 25 years old, just know that HIV/AIDS went from being a virtual death sentence, to a manageable heal…"
1225408876784254976,vipinsumitha,"RT @theviralvox: Actual #coronavirus death toll is 24,589 says tencent's alleged leaked report.

#CoronavirusOutbreak https://t.co/GaJWrKiO…"
