NetflixFR,1220308437516660736,2020-01-23 11:32:58,"b'@Alain36093107 On l\xe2\x80\x99a annonc\xc3\xa9 lundi, d\xc3\xa9j\xc3\xa0.'"
NetflixFR,1220303133525626885,2020-01-23 11:11:53,b'@doucechanson NOUS AUSSI !'
NetflixFR,1220303087677726720,2020-01-23 11:11:42,b'@marine_poties Tranquille.'
NetflixFR,1220303062444793856,2020-01-23 11:11:36,"b""@neeverlandan On y travaille. Mais toujours pas d'infos suppl\xc3\xa9mentaires."""
NetflixFR,1220302958505680896,2020-01-23 11:11:12,"b""@Leyla54617053 C'est Sex Education. On t'en prie !"""
NetflixFR,1220301879646789633,2020-01-23 11:06:54,b'@celiabcde L\xe2\x80\x99annonce a \xc3\xa9t\xc3\xa9 faite lundi.'
NetflixFR,1220301841508028416,2020-01-23 11:06:45,b'@ivredejin Mais tu sais que nous aussi ? \xe2\x9d\xa4\xef\xb8\x8f'
NetflixFR,1220301583101067265,2020-01-23 11:05:44,b'@AndjelieMoore \xc3\x87a arrive en mars !'
NetflixFR,1220301560330235906,2020-01-23 11:05:38,"b'@cbamils On verra si il y a une saison 3, on l\xe2\x80\x99annoncera.'"
NetflixFR,1220300215229480960,2020-01-23 11:00:18,"b'Premier amour. Derni\xc3\xa8re lettre.\n\n\xc3\x80 Tous Les Gar\xc3\xa7ons Que J\xe2\x80\x99ai Aim\xc3\xa9s, PS: Je T\xe2\x80\x99aime Encore, le 12 f\xc3\xa9vrier. https://t.co/wS3QwzvFHu'"
NetflixFR,1220282021819441152,2020-01-23 09:48:00,"b""@chamsoudineAyad 3%, il reste une derni\xc3\xa8re saison qui arrivera prochainement. Pas d'infos pour Reine du Sud, en revanche."""
NetflixFR,1220280471998824448,2020-01-23 09:41:50,"b""@StrangePred4r @sophialillis C'est bien elle !"""
NetflixFR,1220273834160533542,2020-01-23 09:15:28,"b""@Lauique On l'a annonc\xc3\xa9 lundi : tous les films du Studio Ghibli arrivent sur Netflix."""
NetflixFR,1220273711238074371,2020-01-23 09:14:59,"b""@HThorez Le 1er mars pour 7 autres films et le 1er avril pour le reste. Tu peux voir la liste sous notre tweet en dessous de l'annonce."""
NetflixFR,1220273527049347073,2020-01-23 09:14:15,"b'@HugoOFFICIALvdp La saison 2 est arriv\xc3\xa9e il y a \xc3\xa0 peine une semaine, si il y a une saison 3, on en parle.'"
NetflixFR,1220270543531905025,2020-01-23 09:02:23,b'@Cvrlton_Kunta \xc3\x87a va \xc3\xaatre compliqu\xc3\xa9 comme ces deux s\xc3\xa9ries appartiennent \xc3\xa0 un autre diffuseur.'
NetflixFR,1220270410803052545,2020-01-23 09:01:52,b'@cedrico_88200 La s\xc3\xa9rie a \xc3\xa9t\xc3\xa9 annul\xc3\xa9e il y a un moment.'
NetflixFR,1220044959274950657,2020-01-22 18:06:00,"b'Pour l\xe2\x80\x99instant, tout ce que tu dois savoir sur notre prochaine s\xc3\xa9rie \xe2\x80\x9cI Am Not Okay With This\xe2\x80\x9d, c\xe2\x80\x99est que c\xe2\x80\x99est par\xe2\x80\xa6 https://t.co/b2P5NdAPdp'"
NetflixFR,1220041386130575360,2020-01-22 17:51:48,"b""@SiffertQuentin On n'a pas de chiffres \xc3\xa0 te donner, mais sache qu'une version PDF sera bient\xc3\xb4t dispo."""
NetflixFR,1220041278899003393,2020-01-22 17:51:22,b'@nti_so Sex Education !'
NetflixFR,1220041049692876801,2020-01-22 17:50:28,b'@LeegendaryKata1 Quand elle sera produite.'
NetflixFR,1220040914866966528,2020-01-22 17:49:56,"b""@aurexrose On l'aime tous."""
NetflixFR,1220030225859457024,2020-01-22 17:07:27,b'@leajesuisla Prochainement !!!!!!'
NetflixFR,1220030132431310848,2020-01-22 17:07:05,"b""@ArdaC94 On l'a fait lundi."""
NetflixFR,1220029827660623872,2020-01-22 17:05:52,"b'Courage Aimee, tu n\xe2\x80\x99es pas seule. \xe2\x9d\xa4\xef\xb8\x8f https://t.co/VgWM3uTMqv'"
NetflixFR,1220024471823822848,2020-01-22 16:44:35,"b""@Titouan2N Pleins d'autres, mais on en parlera plus tard."""
