datetime,author,body
1224535672842805250,2020-02-04 03:30:29,"RT @GOP: The RNC and @TeamTrump make an HISTORIC fundraising team - just ask Campaign Manager, @parscale ⬇️
 
“The fundraising is out of th…"
1224535475043622914,2020-02-04 03:29:42,"RT @GOP: RT if you’re STILL not tired of winning!
https://t.co/8LFQFEqXIv"
1224535285503053825,2020-02-04 03:28:57,RT @GOP: “The President has strong economic numbers… and people are feeling better than they did four years ago.” -@GOPChairwoman https://t…
1224534673302396935,2020-02-04 03:26:31,"RT @SenRonJohnson: To use the House managers’ own argument on witnesses:
 
“The American people deserve a fair impeachment.”
“The Constitut…"
1224534660270694401,2020-02-04 03:26:28,"RT @SenRonJohnson: Unfortunately, the House did not deliver a fair impeachment to the Senate. Instead, contrary to the warnings of @Speaker…"
1224534648153366529,2020-02-04 03:26:25,RT @SenRonJohnson: House Democrats now demand the Senate do their investigatory work for them. Caving to their demands would have set a dan…
1224534192450678784,2020-02-04 03:24:36,"RT @SenJohnBarrasso: Voting is starting in Iowa today. The decision on who the president should be is made by voters, not by the United Sta…"
1224534111005618176,2020-02-04 03:24:17,"RT @SenTedCruz: Democrats wanted Senate impeachment witnesses because they failed to prove their case.
https://t.co/aanvUqjfwH"
1224534061873537024,2020-02-04 03:24:05,RT @SenCapito: Just wanted to give an update on where we are with the #impeachment trial this week: https://t.co/NQrTtE50bj
1224533790808322049,2020-02-04 03:23:01,"RT @SenateGOP: 13 witnesses.

28,578 documents.

193 video clips.

The Senate carried out our constitutional duty FAIRLY, and @realdonaldtr…"
1224533067156590592,2020-02-04 03:20:08,Many people do not know what a great guy &amp; fantastic political talent the great Rush Limbaugh is. There is nobody l… https://t.co/VvdCXTbI3R
1224427074342928384,2020-02-03 20:18:57,https://t.co/KSVkKL76NM
1224377770983284737,2020-02-03 17:03:03,Where’s the Whistleblower? Where’s the second Whistleblower? Where’s the Informer? Why did Corrupt politician Schif… https://t.co/rPE6VcffXj
1224375193595981824,2020-02-03 16:52:48,KEEP AMERICA GREAT!
1224375060250746880,2020-02-03 16:52:16,MAKE AMERICA GREAT AGAIN!
1224374908710420480,2020-02-03 16:51:40,"Republicans in Iowa, go out and Caucus today. Your great Trade Deals with China, Mexico, Canada, Japan, South Korea… https://t.co/rZTznIgOXe"
1224372633233428489,2020-02-03 16:42:38,"I hope Republicans &amp; the American people realize that the totally partisan Impeachment Hoax is exacty that, a Hoax.… https://t.co/FzKPQnD0Bi"
1224320639458299904,2020-02-03 13:16:01,"RT @michaelbeatty3: ""MY VIEWERS WANT ACCOUNTABILITY!!!!""
""WE'LL BE WATCHING SENATOR""
Maria says EXACTLY what Americans are thinking.
THANK…"
1224320532851691521,2020-02-03 13:15:36,@LindseyGrahamSC https://t.co/lWUKpH1ydc
1224317265702801408,2020-02-03 13:02:37,"The DNC on Bernie Sanders, “Looks like they’re going to do it to him again, doesn’t it?” @SteveDoocy @foxandfriends"
1224212684499030018,2020-02-03 06:07:03,"RT @realDonaldTrump: I promised to restore hope in America. That includes the least among us. Together, let’s KEEP AMERICA GREAT! 

Text TR…"
1224202195798757376,2020-02-03 05:25:22,Hope you liked this! https://t.co/y1j2Wf6J4p
1224198282550882306,2020-02-03 05:09:49,RT @GOPChairwoman: The RNC is building the biggest data infrastructure and ground game in the history of politics to re-elect @realDonaldTr…
1224198160580476929,2020-02-03 05:09:20,RT @TeamTrump: President @realDonaldTrump: We have a 'Positive Revolution' going on in America! https://t.co/rqLyiu6CpW
1224198059611115521,2020-02-03 05:08:56,Great company! https://t.co/Q1NFAHrC3p
1224197475898097664,2020-02-03 05:06:37,"RT @DonaldJTrumpJr: My father @realDonaldTrump promised to restore hope in America. 

That includes EVERYONE!!!

Together, let’s KEEP AMERI…"
1224197071244288000,2020-02-03 05:05:00,Thank you Mike! https://t.co/iNwuaJ3KVP
1224196678338609153,2020-02-03 05:03:27,"RT @TeamTrump: Our SECOND #SuperBowl ad just aired!

America is Stronger, Safer, and More Prosperous thanks to President @realDonaldTrump…"
1224195596434710529,2020-02-03 04:59:09,RT @realDonaldTrump: Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are prou…
1224195317479936000,2020-02-03 04:58:02,RT @parscale: The triggered left is doing everything possible to make negative talking points about the @realDonaldTrump #SuperBowl ad abou…
1224178079808905216,2020-02-03 03:49:33,RT @DavidAFrench: This was a good ad highlighting a very good thing Trump did. @AliceMarieFree is a good friend and a wonderful person.
1224177867166142466,2020-02-03 03:48:42,"RT @AliceMarieFree: Two Super Bowls ago I was sitting in a prison cell.

Today I am a free woman and my story was featured in a Super Bowl…"
1224176171547365376,2020-02-03 03:41:58,So Great! https://t.co/5d9CZ0zIIQ
1224172413388128256,2020-02-03 03:27:02,Congratulations to the Kansas City Chiefs on a great game and a fantastic comeback under immense pressure. We are p… https://t.co/ECvMGuqxlJ
1224140223573037056,2020-02-03 01:19:07,"RT @Lrihendry: @realDonaldTrump BEST SUPER BOWL AD EVER! 

President Trump making lives better for minorities! 

Unlike Obama, who did noth…"
1224139971365363712,2020-02-03 01:18:07,RT @IsraelUSAforevr: @realDonaldTrump The best president ever https://t.co/QeXxsp7eDi
1224139147935391744,2020-02-03 01:14:50,"RT @SexCounseling: @realDonaldTrump You have already done that in so many ways with prison reform, choice for veterans and a booming econom…"
1224138761149218817,2020-02-03 01:13:18,RT @CarlHigbie: @realDonaldTrump And all they got is a fraud impeachment. 2020 is gonna rock!!
1224138536259112961,2020-02-03 01:12:25,RT @Sensedog: @realDonaldTrump Thank you Mr. President.
